n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max
1500.0,40.0,0.02,0.17,10.0,0.3529697911062217,0.7478172902163849
500.0,24.0,0.18,0.13,8.0,0.3634104210714895,0.7525242669542029
900.0,8.0,0.22,0.03,4.0,0.37057055934904026,0.7561485255550501
300.0,8.0,0.18,0.15,6.0,0.35345074756288825,0.7480652311130814
1100.0,36.0,0.02,0.13,2.0,0.3529697911062217,0.7478172902163849
500.0,32.0,0.18,0.01,8.0,0.4076859855917079,0.7613992952129494
1700.0,32.0,0.38,0.13,10.0,0.3594072590564936,0.7511984255221178
100.0,32.0,0.22,0.09,2.0,0.3549261901486489,0.7488424188548284
500.0,24.0,0.06,0.11,6.0,0.3678008898391129,0.7544394767590398
100.0,32.0,0.38,0.19,10.0,0.3529697911062217,0.7478172902163849
1100.0,20.0,0.22,0.19,10.0,0.3529697911062217,0.7478172902163849
300.0,36.0,0.06,0.17,10.0,0.35316265513707995,0.7479244221416986
1500.0,36.0,0.1,0.15,8.0,0.35471946362330503,0.7487218884565694
300.0,12.0,0.38,0.07,8.0,0.3653773735636304,0.7542764020050462
300.0,20.0,0.1,0.03,4.0,0.4045806654292313,0.7610364439454185
1500.0,32.0,0.1,0.01,4.0,0.4143612545128092,0.7628892863170031
1900.0,36.0,0.1,0.03,4.0,0.4022327610444156,0.7621995239510282
700.0,24.0,0.3,0.09,2.0,0.3529697911062217,0.7478172902163849
1900.0,20.0,0.26,0.15,8.0,0.35471946362330503,0.7485699882310332
1500.0,24.0,0.1,0.13,8.0,0.3623487440937915,0.7519959269803114
1900.0,36.0,0.14,0.13,8.0,0.36235425868714505,0.7519936619868455
900.0,8.0,0.34,0.13,10.0,0.3605793813855441,0.7517845904137418
1900.0,4.0,0.18,0.01,6.0,0.38265664730762106,0.7606258456232651
1300.0,8.0,0.18,0.17,6.0,0.3529697911062217,0.7478172902163849
500.0,36.0,0.3,0.05,10.0,0.380021825638846,0.7586606286851154
1100.0,20.0,0.06,0.11,6.0,0.3662374696631113,0.7538160765450842
900.0,40.0,0.02,0.01,8.0,0.4887972238961547,0.7579322966017025
900.0,36.0,0.22,0.09,6.0,0.3699556995928383,0.7552187660486747
300.0,28.0,0.02,0.11,8.0,0.3715292900742409,0.7551183490380697
1300.0,12.0,0.02,0.07,2.0,0.3646813222554228,0.7536299653601686
1100.0,40.0,0.22,0.01,8.0,0.3933105458234035,0.7612573463826904
1100.0,12.0,0.1,0.09,10.0,0.3847203933774521,0.7577053300989667
1900.0,8.0,0.3,0.15,10.0,0.3572711114905485,0.7495029947052928
700.0,8.0,0.14,0.15,4.0,0.3529697911062217,0.7478172902163849
900.0,20.0,0.34,0.11,8.0,0.3618390018744288,0.752300527871583
500.0,8.0,0.18,0.01,10.0,0.4143516607996391,0.7613721642034862
300.0,20.0,0.18,0.11,2.0,0.3529697911062217,0.7478172902163849
1300.0,4.0,0.22,0.05,8.0,0.3828742170303309,0.759625501930729
900.0,24.0,0.18,0.17,2.0,0.3529697911062217,0.7478172902163849
100.0,28.0,0.14,0.19,6.0,0.3529697911062217,0.7478172902163849
1500.0,24.0,0.14,0.07,2.0,0.3646878029290196,0.7536417453888806
1900.0,8.0,0.14,0.11,10.0,0.3763383866336615,0.7570461990258686
1500.0,16.0,0.34,0.11,4.0,0.3529697911062217,0.7478172902163849
