binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(34.389, 36.458]","(11974.945, 13119.594]","(27.351, 28.794]","(19.56, 21.69]","(23691.488, 24705.013]","(22.843, 24.328]","(0.219, 1.898]","(12651.296, 13873.478]","(11.832, 13.806]",14593.0,4206.0
"(28.596, 30.487]","(23975.204, 25308.238]","(17.426, 18.838]","(3.724, 6.211]","(26059.108, 26872.869]","(0.847, 2.081]","(32.323, 33.278]","(23524.053, 25022.682]","(29.083, 29.97]",25898.0,5840.0
"(13.292, 15.263]","(17198.684, 18069.604]","(22.113, 23.54]","(7.396, 9.37]","(16253.196, 17749.48]","(12.588, 15.135]","(4.359, 6.303]","(28475.28, 29884.81]","(9.597, 10.77]",11376.0,2760.0
"(38.353, 39.92]","(16071.688, 17198.684]","(15.535, 17.426]","(6.211, 7.396]","(25267.247, 26059.108]","(3.568, 4.822]","(32.323, 33.278]","(27436.739, 28475.28]","(1.68, 2.898]",26297.0,5749.0
"(15.263, 16.26]","(14386.418, 15386.752]","(25.448, 27.351]","(36.393, 38.038]","(13002.937, 14434.652]","(9.34, 10.72]","(18.602, 19.94]","(16991.383, 18066.412]","(20.842, 22.373]",9756.0,1749.0
"(9.756, 11.512]","(11974.945, 13119.594]","(7.036, 8.168]","(21.69, 23.494]","(21509.223, 22466.49]","(9.34, 10.72]","(8.736, 10.853]","(25022.682, 26000.772]","(10.77, 11.832]",23785.0,4914.0
"(9.756, 11.512]","(16071.688, 17198.684]","(17.426, 18.838]","(14.842, 17.672]","(14434.652, 15210.697]","(12.588, 15.135]","(26.258, 29.128]","(16991.383, 18066.412]","(15.67, 16.83]",11529.0,2092.0
"(36.458, 38.353]","(25308.238, 26307.966]","(1.64, 2.819]","(30.945, 32.55]","(11772.474, 13002.937]","(9.34, 10.72]","(16.724, 18.602]","(18066.412, 19186.778]","(6.5, 8.05]",8334.0,1460.0
"(6.876, 9.756]","(11034.201, 11974.945]","(9.531, 10.922]","(14.842, 17.672]","(15210.697, 16253.196]","(28.873, 29.99]","(36.24, 38.258]","(19186.778, 19989.86]","(29.083, 29.97]",14247.0,2600.0
"(4.058, 6.876]","(19205.184, 20333.54]","(9.531, 10.922]","(23.494, 24.99]","(24705.013, 25267.247]","(22.843, 24.328]","(16.724, 18.602]","(22499.006, 23524.053]","(8.05, 9.597]",21334.0,4033.0
"(15.263, 16.26]","(28245.716, 28943.995]","(17.426, 18.838]","(33.545, 36.393]","(28027.804, 28704.074]","(0.028999999999999998, 0.847]","(12.936, 15.385]","(16991.383, 18066.412]","(24.282, 25.735]",24529.0,5847.0
"(0.169, 2.327]","(25308.238, 26307.966]","(25.448, 27.351]","(33.545, 36.393]","(16253.196, 17749.48]","(0.847, 2.081]","(18.602, 19.94]","(25022.682, 26000.772]","(29.083, 29.97]",12402.0,2058.0
"(25.674, 28.596]","(11974.945, 13119.594]","(9.531, 10.922]","(26.706, 29.325]","(19972.327, 20981.91]","(16.921, 19.152]","(4.359, 6.303]","(23524.053, 25022.682]","(13.806, 15.67]",18358.0,4143.0
"(11.512, 13.292]","(11034.201, 11974.945]","(18.838, 20.4]","(24.99, 26.706]","(10112.759, 11038.402]","(28.873, 29.99]","(32.323, 33.278]","(11185.643, 12651.296]","(19.794, 20.842]",3172.0,615.0
"(30.487, 32.782]","(21495.298, 22544.526]","(17.426, 18.838]","(19.56, 21.69]","(19972.327, 20981.91]","(15.135, 16.921]","(4.359, 6.303]","(22499.006, 23524.053]","(22.373, 24.282]",13705.0,3606.0
