binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(0.13, 2.82]","(25989.21, 27318.093]","(24.036, 26.017]","(37.175, 39.82]","(21988.14, 23307.627]","(27.993, 29.99]","(18.714, 21.356]","(20621.155, 21944.534]","(27.975, 29.97]",19062.0,3522.0
"(10.77, 13.42]","(19344.793, 20673.677]","(12.148, 14.129]","(37.175, 39.82]","(18029.68, 19349.167]","(10.017, 12.014]","(23.998, 26.64]","(15327.637, 16651.017]","(27.975, 29.97]",18210.0,3832.0
"(37.27, 39.92]","(27318.093, 28646.977]","(14.129, 16.111]","(31.884, 34.529]","(16710.193, 18029.68]","(6.022, 8.019]","(13.43, 16.072]","(17974.396, 19297.775]","(25.979, 27.975]",17430.0,3408.0
"(34.62, 37.27]","(24660.327, 25989.21]","(8.185, 10.167]","(13.367, 16.012]","(16710.193, 18029.68]","(2.027, 4.025]","(34.566, 37.208]","(15327.637, 16651.017]","(23.984, 25.979]",15475.0,3071.0
"(31.97, 34.62]","(16687.027, 18015.91]","(6.204, 8.185]","(16.012, 18.657]","(23307.627, 24627.113]","(4.025, 6.022]","(16.072, 18.714]","(16651.017, 17974.396]","(8.021, 10.017]",22937.0,5154.0
"(0.13, 2.82]","(23331.443, 24660.327]","(26.017, 27.999]","(37.175, 39.82]","(25946.6, 27266.087]","(2.027, 4.025]","(34.566, 37.208]","(20621.155, 21944.534]","(27.975, 29.97]",22146.0,4355.0
"(2.82, 5.47]","(18015.91, 19344.793]","(0.23, 2.241]","(18.657, 21.303]","(27266.087, 28585.573]","(27.993, 29.99]","(37.208, 39.85]","(27238.051, 28561.431]","(4.031, 6.026]",23272.0,4422.0
"(8.12, 10.77]","(15358.143, 16687.027]","(0.23, 2.241]","(34.529, 37.175]","(25946.6, 27266.087]","(14.011, 16.009]","(31.924, 34.566]","(11357.499, 12680.879]","(25.979, 27.975]",20107.0,5113.0
"(0.13, 2.82]","(15358.143, 16687.027]","(20.073, 22.055]","(37.175, 39.82]","(24627.113, 25946.6]","(27.993, 29.99]","(26.64, 29.282]","(21944.534, 23267.913]","(10.017, 12.012]",21545.0,4108.0
"(8.12, 10.77]","(27318.093, 28646.977]","(0.23, 2.241]","(13.367, 16.012]","(10092.968, 11432.247]","(2.027, 4.025]","(5.504, 8.146]","(19297.775, 20621.155]","(14.007, 16.003]",2954.0,567.0
"(16.07, 18.72]","(25989.21, 27318.093]","(10.167, 12.148]","(5.431, 8.076]","(21988.14, 23307.627]","(12.014, 14.011]","(34.566, 37.208]","(12680.879, 14004.258]","(10.017, 12.012]",4045.0,1270.0
"(18.72, 21.37]","(16687.027, 18015.91]","(14.129, 16.111]","(0.1, 2.785]","(24627.113, 25946.6]","(8.019, 10.017]","(0.18, 2.862]","(25914.672, 27238.051]","(10.017, 12.012]",2085.0,1239.0
"(10.77, 13.42]","(23331.443, 24660.327]","(16.111, 18.092]","(13.367, 16.012]","(18029.68, 19349.167]","(4.025, 6.022]","(13.43, 16.072]","(25914.672, 27238.051]","(21.989, 23.984]",21670.0,4279.0
"(29.32, 31.97]","(23331.443, 24660.327]","(0.23, 2.241]","(37.175, 39.82]","(23307.627, 24627.113]","(10.017, 12.014]","(2.862, 5.504]","(10014.269, 11357.499]","(10.017, 12.012]",17912.0,4633.0
"(24.02, 26.67]","(11371.493, 12700.377]","(12.148, 14.129]","(23.948, 26.593]","(20668.653, 21988.14]","(23.998, 25.995]","(34.566, 37.208]","(14004.258, 15327.637]","(12.012, 14.007]",19891.0,4363.0
"(29.32, 31.97]","(20673.677, 22002.56]","(14.129, 16.111]","(31.884, 34.529]","(24627.113, 25946.6]","(14.011, 16.009]","(0.18, 2.862]","(14004.258, 15327.637]","(17.998, 19.993]",15775.0,4627.0
"(21.37, 24.02]","(10022.677, 11371.493]","(24.036, 26.017]","(0.1, 2.785]","(19349.167, 20668.653]","(22.001, 23.998]","(0.18, 2.862]","(20621.155, 21944.534]","(17.998, 19.993]",173.0,100.0
"(26.67, 29.32]","(24660.327, 25989.21]","(2.241, 4.223]","(29.239, 31.884]","(12751.733, 14071.22]","(22.001, 23.998]","(29.282, 31.924]","(23267.913, 24591.293]","(8.021, 10.017]",11386.0,1950.0
