hidden_layer_sizes,alpha,batch_size,learning_rate_init,max_iter,beta_1,beta_2,epsilon,n_iter_no_change,explained_variance_max,max_error
3.0,0.01,256.0,1.0,300.0,0.9,0.9990000000000001,1e-06,20.0,7.771561172376094e-17,0.6035157865912519
27.0,0.0005,32.0,0.01,50.0,0.96,0.993,0.1,5.0,0.029189901313647938,0.6377988589404991
12.0,0.05,512.0,0.1,500.0,0.9,0.996,0.01,5.0,0.17513247832724704,0.8154322136848144
12.0,0.01,64.0,1.0,300.0,0.93,0.99,0.0001,5.0,0.022920463927393588,0.7699945316250989
6.0,0.05,128.0,0.1,200.0,0.93,0.993,0.01,5.0,6.661338147750939e-17,0.6119945453470763
18.0,0.005,256.0,0.1,300.0,0.96,0.996,0.1,10.0,0.018738975443811045,0.877894370101479
27.0,0.0001,256.0,0.1,50.0,0.96,0.99,0.1,20.0,0.010468375875612812,0.7728130761129981
18.0,0.01,32.0,0.1,200.0,0.96,0.996,1e-06,5.0,6.661338147750939e-17,0.6168936870653511
21.0,0.0001,256.0,0.1,50.0,0.93,0.99,0.0001,10.0,0.0001863108306094041,0.5985410005531909
21.0,0.001,64.0,1.0,100.0,0.9,0.996,1e-06,5.0,4.440892098500625e-17,0.5650010763063809
27.0,0.0005,128.0,0.1,200.0,0.9,0.996,0.01,20.0,8.280242084652833e-05,0.591965885446059
3.0,0.05,32.0,1.0,200.0,0.96,0.993,0.1,20.0,2.2204460492503126e-17,0.6037601342722588
18.0,0.0005,32.0,0.01,50.0,0.99,0.9990000000000001,0.01,20.0,0.25608541010133445,0.7196680879120579
3.0,0.0001,32.0,0.1,200.0,0.96,0.993,0.01,10.0,0.0,0.6172227110800601
15.0,0.0005,128.0,1.0,50.0,0.9,0.996,0.1,5.0,4.440892098500625e-17,0.6099354158671555
27.0,0.0005,256.0,0.1,50.0,0.96,0.99,0.01,20.0,0.0010897498344233814,0.6622344793617971
27.0,0.05,64.0,0.1,500.0,0.96,0.996,0.0001,20.0,4.440892098500625e-17,0.614703703240287
15.0,0.001,64.0,0.1,100.0,0.96,0.993,1e-08,5.0,5.551115123125783e-17,0.6255818129758838
3.0,0.001,256.0,0.1,300.0,0.93,0.993,0.0001,10.0,7.771561172376094e-17,0.6332723669944873
30.0,0.05,1024.0,0.1,300.0,0.93,0.996,1e-06,10.0,0.017793838725715994,0.8579507823389108
3.0,0.0005,128.0,1.0,50.0,0.93,0.99,1e-06,20.0,5.551115123125783e-17,0.6798250186967023
30.0,0.001,64.0,1.0,100.0,0.93,0.9990000000000001,0.01,5.0,4.440892098500625e-17,0.6042058174965778
6.0,0.001,256.0,1.0,500.0,0.93,0.996,1e-06,10.0,4.440892098500625e-17,0.6048267166880564
