binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,TWP,Cost
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",159.0,38.0,0.2978333309777777
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",7748.0,1328.0,0.3221682476444444
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",27014.0,6642.0,0.5240111908222223
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",72.0,23.0,0.2976786611111111
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",28244.0,8912.0,0.5205170675333334
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",19211.0,3217.0,0.4806855440222221
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",17.0,22.0,0.3743815403777779
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",1.0,2.0,0.1997257115333333
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",0.0,1.0,0.3396858226444445
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",594.0,133.0,0.3871203886666666
